year_month,no_of_rainy_days,total_rainfall,accidents_with_fatalities,accidents_with_injuries,year,month,average_rainfall,total_accidents
2021-05,13,245.8,12.0,458.0,2021,05,18.907692307692308,470.0
2021-06,20,93.4,6.0,466.0,2021,06,4.67,472.0
2021-07,12,195.8,8.0,466.0,2021,07,16.316666666666666,474.0
2021-08,24,293.6,6.0,528.0,2021,08,12.233333333333334,534.0
2021-09,14,205.4,6.0,527.0,2021,09,14.671428571428573,533.0
2021-10,14,177.0,6.0,434.0,2021,10,12.642857142857142,440.0
2021-11,23,312.4,10.0,511.0,2021,11,13.582608695652173,521.0
2021-12,15,119.6,12.0,513.0,2021,12,7.973333333333333,525.0
2022-01,9,99.8,,,2022,01,11.088888888888889,
2022-02,16,175.0,,,2022,02,10.9375,
2022-03,21,163.2,,,2022,03,7.7714285714285705,
2022-04,18,239.6,,,2022,04,13.31111111111111,
2022-05,12,102.0,,,2022,05,8.5,
2022-06,17,211.8,,,2022,06,12.458823529411765,
2022-07,16,145.2,,,2022,07,9.075,
2022-08,15,141.4,,,2022,08,9.426666666666668,
