date,content,username,like_count,retweet_count
2023-02-25 16:35:07+00:00,"Back to the pits we go... that's #F1Testing all done! ✅

#F1 https://t.co/dE1Q7K5OXO",F1,2806,227
2023-02-25 16:28:46+00:00,"A mini sprint race, anyone? 👀

#F1 #F1Testing https://t.co/kZuqdduwpJ",F1,9718,555
2023-02-25 16:24:00+00:00,"Just 5 minutes of testing to go... ⌛️

Join us live in the paddock for all the reaction and analysis 👇

#F1 #F1Testing",F1,1236,114
2023-02-25 15:49:37+00:00,"Checo tops the charts 💪

1:30.305 is the time to beat with 45 minutes to go! 💫

#F1 #F1Testing https://t.co/Mv6TOURiCK",F1,18654,1147
2023-02-25 15:10:00+00:00,"It's not the race weekend just yet! ✨🫣

#F1 #F1Testing https://t.co/9mVG5dpyIy",F1,6005,362
2023-02-25 15:01:00+00:00,"Dark mode ON 🌙📸

We're into the final 90 minutes of testing 💪

#F1 #F1Testing https://t.co/AsOEWtVlfv",F1,2754,189
2023-02-25 14:56:00+00:00,"A taste of what's to come next week, perhaps? 😉

#F1 #F1Testing https://t.co/l1arPqkw7P",F1,8635,524
2023-02-25 14:25:40+00:00,"Laps, laps and more laps! ✨

Perez and Albon have both clocked over 100 laps for today 💯👊

#F1 #F1Testing https://t.co/pSq5sTaoZS",F1,3166,188
2023-02-25 14:12:17+00:00,"Yuki spotted in the pit lane

#F1 #F1Testing https://t.co/9nxvnFH253",F1,34405,1603
2023-02-25 14:04:59+00:00,"No track action for Max today, but he is keeping a close eye on the competition 🔎👀

#F1 #F1Testing https://t.co/JsuyGbCSm7",F1,3759,245
2023-02-25 12:55:00+00:00,"The art 🖼️                           The artist 🧑‍🎨

#F1 #F1Testing https://t.co/cZI3InZUUW",F1,20050,766
2023-02-25 12:45:00+00:00,"Sparks 🤝 Formula 1 cars

One of the best collaborations of all time 🤤

#F1 #F1Testing https://t.co/q5YpnUxuld",F1,3655,304
2023-02-25 12:18:33+00:00,"We're back on track for our final session of testing! 🙌

Follow along 👉 https://t.co/wrm1L2QzWT

#F1 #F1Testing https://t.co/V9nl1AmBFd",F1,2060,128
2023-02-25 11:50:00+00:00,"Valtteri Bottas grinds to an unfortunate halt! 😫

#F1 #F1Testing https://t.co/d8la4mBGkz",F1,2912,150
2023-02-25 11:42:58+00:00,"George Russell lays down some rubber 😮‍💨

#F1 #F1Testing @MercedesAMGF1 https://t.co/ITvj80UVIO",F1,4616,282
2023-02-25 11:36:00+00:00,"Only half a day of testing remains! 🤯

And, we've loved seeing these 2023 cars on track 😍

#F1 #F1Testing https://t.co/Q0N5ptYNSX",F1,2642,178
2023-02-25 11:30:00+00:00,"Charles Leclerc leads George Russell 🚀

#F1 #F1Testing 

https://t.co/SxuwXwS2as",F1,2060,233
2023-02-25 11:25:00+00:00,"Oscar Piastri takes his @McLarenF1 for a spin 🌀

Luckily the quick-thinking Aussie was able to save it and continue on! 

#F1 #F1Testing https://t.co/qOIe6uZQEf",F1,3575,201
2023-02-25 11:22:20+00:00,"Charles Leclerc holds strong 💪

Bring on the afternoon! 

#F1 #F1Testing https://t.co/W3avMUlQcA",F1,5687,490
2023-02-25 10:17:51+00:00,https://t.co/VYEbIUpRzH,F1,3799,327
2023-02-25 10:17:38+00:00,"For all those rear wing fanatics, we've got something for you! 🤤

#F1 #F1Testing https://t.co/mOlnpTiwEg",F1,16187,723
